288,3000000,6000,1,1,109.25364828109741
288,3000000,6000,1,10,112.16346216201782
288,3000000,6000,1,11,115.81855773925781
288,3000000,6000,1,12,112.79959011077881
288,3000000,6000,1,13,110.48133730888367
288,3000000,6000,1,14,113.74924564361572
288,3000000,6000,1,15,113.77850675582886
288,3000000,6000,1,16,108.02294254302979
288,3000000,6000,1,17,115.04216241836548
288,3000000,6000,1,18,117.06686449050903
288,3000000,6000,1,19,108.69264602661133
288,3000000,6000,1,2,113.50354337692261
288,3000000,6000,1,20,112.94871187210083
288,3000000,6000,1,21,110.3776159286499
288,3000000,6000,1,22,111.7979588508606
288,3000000,6000,1,23,123.64087128639221
288,3000000,6000,1,24,113.89836525917053
288,3000000,6000,1,25,110.9121322631836
288,3000000,6000,1,26,111.0184223651886
288,3000000,6000,1,27,112.57390570640564
288,3000000,6000,1,28,115.40941524505615
288,3000000,6000,1,29,108.83489322662354
288,3000000,6000,1,3,114.41526556015015
288,3000000,6000,1,30,109.76644659042358
288,3000000,6000,1,4,111.72889304161072
288,3000000,6000,1,5,111.95450973510742
288,3000000,6000,1,6,116.020024061203
288,3000000,6000,1,7,110.84672951698303
288,3000000,6000,1,8,110.52016711235046
288,3000000,6000,1,9,122.30765771865845
